faker_type,nl,fr,en,de,da
average,2.9361125243337534,3.253717201634457,2.5317073244797554,2.9260630927587807,2.617554052879936
address,7.057971251010895,8.95798488855362,8.493842685222626,14.471025252342224,7.929632079601288
phone_number,1.2586057662963868,2.3496477127075197,1.6552040457725525,1.631890892982483,1.4431788086891175
pricetag,0.8100727915763855,0.8617490291595459,0.8059597373008728,0.8017151594161988,0.9514741539955139
timezone,1.2459526538848877,1.268796706199646,1.2465778827667235,1.3729717135429382,1.2782804369926453
mime_type,1.2322466492652893,1.218278157711029,1.2222697019577027,1.2837170839309693,1.2201839923858642
unix_partition,0.4593189716339111,0.43638221025466917,0.43317643404006956,0.4390649557113647,0.4445952415466309
ascii_email,7.761196398735047,4.7816098690032955,4.22632863521576,4.3982200741767885,5.738826084136963
isbn10,0.5786024928092957,0.5891178250312805,0.5837783336639404,0.5794635653495789,0.582978093624115
job,8.504456806182862,16.274660539627074,8.100849521160125,1.8996786952018738,4.516811645030975
ssn,0.09957443475723267,0.26108455657958984,0.3625838398933411,0.3470800995826721,0.3470912456512451
user_agent,3.721135687828064,3.682118022441864,3.7636731386184694,3.871383714675903,3.8977824449539185
color,1.2987689256668091,1.307967209815979,1.3043176531791687,1.2825973629951477,1.281449830532074
license_plate,1.0244775295257569,0.4436724066734314,1.170676553249359,1.003448486328125,0.2751951217651367
iban,0.3243196249008179,0.16739743947982788,0.308686888217926,0.16675958633422852,0.19186313152313234
company,4.261988508701324,2.816898262500763,0.9917649388313293,5.243280935287475,4.133714139461517
time,0.7902653455734253,0.8239645838737488,0.7927582502365113,0.7979165315628052,0.7932956099510193
ipv4,2.2835323572158814,2.2555810689926146,2.3403024673461914,2.4599602460861205,2.3265064477920534
uri,8.365331518650056,8.681751310825348,8.817959904670715,7.968261110782623,7.598746681213379
name,4.7083202481269835,4.64196503162384,1.4817285537719727,5.57676329612732,4.781921815872193
